Cancer Type,Feature Type,Clinical Outcome Endpoint,Event Time Threshold (Year),Source Group,Target Group,EA-Positive,EA-Negative,DDP-Positive,DDP-Negative
BLCA,"('MicroRNA', 'Methylation')",OS,1,WHITE,BLACK,225,64,14,6
BLCA,"('MicroRNA', 'Methylation')",PFI,1,WHITE,BLACK,187,87,9,9
BLCA,"('mRNA', 'Methylation')",OS,1,WHITE,BLACK,224,65,14,6
BLCA,"('mRNA', 'Methylation')",PFI,1,WHITE,BLACK,185,88,9,9
BLCA,"('mRNA', 'MicroRNA')",OS,1,WHITE,BLACK,230,66,14,6
BLCA,"('mRNA', 'MicroRNA')",PFI,1,WHITE,BLACK,191,90,9,9
BLCA,"('Protein', 'Methylation')",OS,1,WHITE,BLACK,188,51,11,6
BLCA,"('Protein', 'Methylation')",PFI,1,WHITE,BLACK,153,73,6,9
BLCA,"('Protein', 'MicroRNA')",OS,1,WHITE,BLACK,195,52,11,6
BLCA,"('Protein', 'MicroRNA')",PFI,1,WHITE,BLACK,159,76,6,9
BLCA,"('Protein', 'mRNA')",OS,1,WHITE,BLACK,193,53,11,6
BLCA,"('Protein', 'mRNA')",PFI,1,WHITE,BLACK,157,76,6,9
BRCA,"('MicroRNA', 'Methylation')",DFI,2,WHITE,BLACK,350,21,77,9
BRCA,"('MicroRNA', 'Methylation')",DFI,3,WHITE,BLACK,264,27,55,12
BRCA,"('MicroRNA', 'Methylation')",DFI,4,WHITE,BLACK,194,35,41,16
BRCA,"('MicroRNA', 'Methylation')",DFI,5,WHITE,BLACK,146,43,31,17
BRCA,"('MicroRNA', 'Methylation')",DSS,2,WHITE,BLACK,403,17,91,8
BRCA,"('MicroRNA', 'Methylation')",DSS,3,WHITE,BLACK,296,31,67,13
BRCA,"('MicroRNA', 'Methylation')",DSS,4,WHITE,BLACK,225,34,53,14
BRCA,"('MicroRNA', 'Methylation')",DSS,5,WHITE,BLACK,176,40,41,14
BRCA,"('MicroRNA', 'Methylation')",OS,1,WHITE,BLACK,609,14,146,5
BRCA,"('MicroRNA', 'Methylation')",OS,2,WHITE,BLACK,419,26,91,9
BRCA,"('MicroRNA', 'Methylation')",OS,3,WHITE,BLACK,311,46,67,14
BRCA,"('MicroRNA', 'Methylation')",OS,4,WHITE,BLACK,237,56,53,16
BRCA,"('MicroRNA', 'Methylation')",OS,5,WHITE,BLACK,185,70,41,16
BRCA,"('MicroRNA', 'Methylation')",PFI,1,WHITE,BLACK,598,19,143,8
BRCA,"('MicroRNA', 'Methylation')",PFI,2,WHITE,BLACK,407,37,88,14
BRCA,"('MicroRNA', 'Methylation')",PFI,3,WHITE,BLACK,299,54,65,18
BRCA,"('MicroRNA', 'Methylation')",PFI,4,WHITE,BLACK,220,66,49,23
BRCA,"('MicroRNA', 'Methylation')",PFI,5,WHITE,BLACK,166,79,37,24
BRCA,"('mRNA', 'Methylation')",DFI,2,WHITE,BLACK,358,23,77,9
BRCA,"('mRNA', 'Methylation')",DFI,3,WHITE,BLACK,269,30,55,12
BRCA,"('mRNA', 'Methylation')",DFI,4,WHITE,BLACK,197,38,41,16
BRCA,"('mRNA', 'Methylation')",DFI,5,WHITE,BLACK,148,46,31,17
BRCA,"('mRNA', 'Methylation')",DSS,2,WHITE,BLACK,412,17,92,8
BRCA,"('mRNA', 'Methylation')",DSS,3,WHITE,BLACK,303,31,68,13
BRCA,"('mRNA', 'Methylation')",DSS,4,WHITE,BLACK,230,34,54,14
BRCA,"('mRNA', 'Methylation')",DSS,5,WHITE,BLACK,180,40,42,14
BRCA,"('mRNA', 'Methylation')",OS,1,WHITE,BLACK,620,14,147,5
BRCA,"('mRNA', 'Methylation')",OS,2,WHITE,BLACK,428,26,92,9
BRCA,"('mRNA', 'Methylation')",OS,3,WHITE,BLACK,318,46,68,14
BRCA,"('mRNA', 'Methylation')",OS,4,WHITE,BLACK,242,56,54,16
BRCA,"('mRNA', 'Methylation')",OS,5,WHITE,BLACK,189,70,42,16
BRCA,"('mRNA', 'Methylation')",PFI,1,WHITE,BLACK,609,19,144,8
BRCA,"('mRNA', 'Methylation')",PFI,2,WHITE,BLACK,415,39,89,14
BRCA,"('mRNA', 'Methylation')",PFI,3,WHITE,BLACK,304,57,66,18
BRCA,"('mRNA', 'Methylation')",PFI,4,WHITE,BLACK,223,69,50,23
BRCA,"('mRNA', 'Methylation')",PFI,5,WHITE,BLACK,168,82,38,24
BRCA,"('mRNA', 'MicroRNA')",DFI,2,WHITE,BLACK,375,23,79,9
BRCA,"('mRNA', 'MicroRNA')",DFI,3,WHITE,BLACK,280,30,57,12
BRCA,"('mRNA', 'MicroRNA')",DFI,4,WHITE,BLACK,201,38,42,16
BRCA,"('mRNA', 'MicroRNA')",DFI,5,WHITE,BLACK,148,47,31,17
BRCA,"('mRNA', 'MicroRNA')",DSS,2,WHITE,BLACK,438,17,94,8
BRCA,"('mRNA', 'MicroRNA')",DSS,3,WHITE,BLACK,319,31,69,13
BRCA,"('mRNA', 'MicroRNA')",DSS,4,WHITE,BLACK,236,35,54,14
BRCA,"('mRNA', 'MicroRNA')",DSS,5,WHITE,BLACK,183,41,41,14
BRCA,"('mRNA', 'MicroRNA')",OS,1,WHITE,BLACK,663,20,152,5
BRCA,"('mRNA', 'MicroRNA')",OS,2,WHITE,BLACK,454,28,94,9
BRCA,"('mRNA', 'MicroRNA')",OS,3,WHITE,BLACK,334,49,69,14
BRCA,"('mRNA', 'MicroRNA')",OS,4,WHITE,BLACK,248,61,54,17
BRCA,"('mRNA', 'MicroRNA')",OS,5,WHITE,BLACK,192,75,41,17
BRCA,"('mRNA', 'MicroRNA')",PFI,1,WHITE,BLACK,651,25,149,8
BRCA,"('mRNA', 'MicroRNA')",PFI,2,WHITE,BLACK,440,39,91,14
BRCA,"('mRNA', 'MicroRNA')",PFI,3,WHITE,BLACK,320,59,67,18
BRCA,"('mRNA', 'MicroRNA')",PFI,4,WHITE,BLACK,230,72,50,23
