Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1ASIAN,0ASIAN
BLCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,90,97,7,6
ESCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,43,15,33,6
LIHC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,75,12,22,26
LIHC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,42,27,7,28
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,123,38,40,16
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,53,66,10,19
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,166,53,73,22
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,74,88,12,26
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,354,74,84,23
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,191,116,13,27
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,606,136,75,11
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,360,248,15,17
LIHC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,41,15,7,16
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,120,14,40,10
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,52,33,10,12
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,161,20,73,13
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,72,43,12,15
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,333,31,84,14
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,176,57,13,16
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,568,76,75,5
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,338,147,15,9
BLCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,150,70,21,7
BLCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,72,101,6,8
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,248,48,6,5
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,183,57,5,5
ESCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,36,14,18,18
LIHC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,48,32,14,25
LIHC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,20,51,5,24
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,109,32,34,15
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,44,56,9,17
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,145,46,52,33
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,63,76,9,37
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,318,73,62,35
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,160,122,10,39
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,249,186,18,8
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,153,218,11,9
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,108,227,8,10
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,5,71,234,8,10
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,532,160,51,30
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,309,242,9,37
BLCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,47,9,6,5
LIHC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,1,39,26,15,19
LIHC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,20,38,6,18
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,1,88,8,29,13
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,41,20,7,13
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,1,107,8,45,30
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,51,21,7,31
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,1,164,11,55,31
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,93,26,8,32
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,211,85,17,5
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,3,131,108,10,6
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,4,93,113,8,7
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,5,61,118,8,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,1,322,21,46,24
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,192,48,9,27
