Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1ASIAN,0ASIAN
BLCA,"('Protein', 'mRNA', 'MicroRNA')",OS,2,97,101,8,6
ESCA,"('Protein', 'mRNA', 'MicroRNA')",OS,1,47,18,33,6
LIHC,"('Protein', 'mRNA', 'MicroRNA')",OS,1,79,14,22,26
LIHC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,44,31,7,28
STAD,"('Protein', 'mRNA', 'MicroRNA')",OS,1,145,45,40,16
STAD,"('Protein', 'mRNA', 'MicroRNA')",OS,2,67,75,10,19
STES,"('Protein', 'mRNA', 'MicroRNA')",OS,1,192,63,73,22
STES,"('Protein', 'mRNA', 'MicroRNA')",OS,2,91,101,12,26
PanGI,"('Protein', 'mRNA', 'MicroRNA')",OS,1,474,103,84,23
PanGI,"('Protein', 'mRNA', 'MicroRNA')",OS,2,267,158,13,27
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,3,253,132,14,6
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,4,180,166,11,7
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,5,124,186,11,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,1,663,147,78,11
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,2,404,266,17,18
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,3,267,321,6,17
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,4,201,339,5,18
LIHC,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,43,16,7,16
STAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,142,16,40,10
STAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,66,37,10,12
STES,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,187,24,73,13
STES,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,89,50,12,15
PanGI,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,453,53,84,14
