Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1BLACK,0BLACK
BLCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,186,48,11,6
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,351,22,66,6
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,259,41,48,9
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,4,197,51,37,10
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,5,150,63,28,10
COAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,90,22,15,6
COAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,50,30,6,7
HNSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,128,38,14,6
HNSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,85,69,8,9
HNSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,65,82,5,11
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,257,69,21,5
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,207,92,16,7
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,4,159,109,14,7
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,5,107,124,8,10
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,78,10,18,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,55,13,12,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,4,42,16,8,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,5,30,19,7,5
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,209,28,31,5
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,125,55,18,10
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,76,77,11,12
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,4,41,90,7,14
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,5,23,100,7,14
LUSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,108,55,7,5
LUSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,69,68,7,5
OV,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,125,37,12,5
OV,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,96,58,8,8
OV,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,4,64,85,5,10
SARC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,119,32,7,5
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,229,13,71,5
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,154,25,43,7
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,104,34,25,11
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,4,75,39,17,14
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,5,48,41,13,14
COADREAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,117,28,17,6
COADREAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,62,38,7,7
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,465,53,73,8
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,379,82,42,10
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,300,110,31,12
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,4,238,130,23,12
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,5,170,149,16,15
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,191,116,20,9
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,91,139,8,11
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,496,38,103,11
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,349,85,65,19
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,237,126,40,26
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,4,168,160,27,33
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,5,116,180,20,36
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,608,136,47,17
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,362,248,25,29
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,234,297,19,32
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,4,176,315,13,37
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,5,126,325,11,37
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,335,15,66,5
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,244,28,48,8
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,4,185,31,37,8
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,5,142,36,28,8
COAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,82,12,15,5
COAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,44,16,6,6
HNSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,118,22,13,5
HNSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,79,42,8,6
HNSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,62,49,5,6
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,5,104,85,8,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,76,9,18,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,54,9,12,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,4,41,12,8,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,5,29,13,7,5
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,194,15,30,5
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,114,32,17,9
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,68,49,10,11
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,4,37,54,7,12
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,5,20,58,7,12
OV,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,115,28,12,5
OV,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,88,47,8,8
OV,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,4,61,69,5,10
SARC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,116,27,7,5
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,153,15,43,6
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,103,21,25,9
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,4,75,24,17,11
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,5,48,25,13,11
COADREAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,104,14,17,5
COADREAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,53,18,7,6
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,456,39,72,7
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,371,61,41,9
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,296,78,30,9
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,4,234,92,22,9
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,5,166,102,16,10
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,176,57,20,8
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,82,68,8,9
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,479,22,103,10
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,336,63,65,18
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,227,98,40,24
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,4,164,124,27,30
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,5,113,140,20,33
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,570,76,45,13
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,340,147,25,22
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,220,176,19,22
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,4,165,187,13,26
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,5,117,192,11,26
BLCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,151,71,6,9
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,503,17,111,5
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,340,33,64,8
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,248,48,48,9
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,183,57,36,12
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,5,135,67,28,12
COAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,133,18,37,8
COAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,77,34,12,12
HNSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,113,40,13,6
HNSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,78,56,7,8
HNSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,62,60,5,8
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,268,68,31,5
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,215,95,19,7
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,174,106,14,7
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,132,115,10,9
KIRC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,5,85,121,5,10
