Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1BLACK,0BLACK
BLCA,"('Protein', 'mRNA', 'MicroRNA')",OS,1,193,51,11,6
BRCA,"('Protein', 'mRNA', 'MicroRNA')",OS,2,375,24,68,6
BRCA,"('Protein', 'mRNA', 'MicroRNA')",OS,3,277,44,49,9
BRCA,"('Protein', 'mRNA', 'MicroRNA')",OS,4,206,56,38,10
BRCA,"('Protein', 'mRNA', 'MicroRNA')",OS,5,157,68,28,10
COAD,"('Protein', 'mRNA', 'MicroRNA')",OS,2,128,45,15,6
COAD,"('Protein', 'mRNA', 'MicroRNA')",OS,3,67,52,6,7
HNSC,"('Protein', 'mRNA', 'MicroRNA')",OS,1,130,38,15,6
HNSC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,86,70,8,9
HNSC,"('Protein', 'mRNA', 'MicroRNA')",OS,3,66,83,5,11
KIRC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,260,69,21,5
KIRC,"('Protein', 'mRNA', 'MicroRNA')",OS,3,210,92,16,7
KIRC,"('Protein', 'mRNA', 'MicroRNA')",OS,4,161,110,14,7
KIRC,"('Protein', 'mRNA', 'MicroRNA')",OS,5,108,125,8,10
KIRP,"('Protein', 'mRNA', 'MicroRNA')",OS,2,87,11,18,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",OS,3,62,14,12,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",OS,4,49,17,8,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",OS,5,35,20,7,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,1,233,37,31,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,2,144,65,18,10
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,3,88,88,11,12
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,4,51,102,7,14
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,5,30,114,7,14
LUSC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,136,64,7,5
LUSC,"('Protein', 'mRNA', 'MicroRNA')",OS,3,92,80,7,5
OV,"('Protein', 'mRNA', 'MicroRNA')",OS,2,131,39,12,5
OV,"('Protein', 'mRNA', 'MicroRNA')",OS,3,97,62,8,8
OV,"('Protein', 'mRNA', 'MicroRNA')",OS,4,65,89,5,10
SARC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,120,36,7,5
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,1,246,13,73,5
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,168,26,45,7
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,3,114,36,27,11
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,4,83,41,19,14
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,5,53,43,14,14
COADREAD,"('Protein', 'mRNA', 'MicroRNA')",OS,2,176,57,17,6
COADREAD,"('Protein', 'mRNA', 'MicroRNA')",OS,3,93,66,7,7
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,1,480,53,73,8
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,2,391,83,42,10
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,3,310,111,31,12
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,4,247,132,23,12
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,5,176,151,16,15
PanGI,"('Protein', 'mRNA', 'MicroRNA')",OS,2,267,158,21,9
PanGI,"('Protein', 'mRNA', 'MicroRNA')",OS,3,131,184,9,11
PanGI,"('Protein', 'mRNA', 'MicroRNA')",OS,4,67,200,5,11
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,1,526,38,107,11
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,2,374,88,67,19
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,3,253,132,42,26
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,4,180,166,29,33
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,5,124,186,21,36
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,1,663,147,50,17
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,2,404,266,25,29
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,3,267,321,19,32
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,4,201,339,13,37
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,5,143,350,11,37
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,359,15,68,5
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,262,28,49,8
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,194,32,38,8
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,149,37,28,8
COAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,120,33,15,5
COAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,61,36,6,6
HNSC,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,120,22,14,5
HNSC,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,80,43,8,6
HNSC,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,63,50,5,6
KIRC,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,105,85,8,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,85,10,18,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,61,10,12,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,48,13,8,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,34,14,7,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,213,16,30,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,129,33,17,9
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,77,50,10,11
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,44,56,7,12
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,25,61,7,12
