Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1NAT_A,0NAT_A
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,123,38,8,5
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,166,53,8,5
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,354,74,10,5
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,1,607,136,18,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,2,361,248,9,9
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",OS,3,234,296,6,10
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,1,569,76,18,5
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,2,339,147,9,6
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DSS,3,220,176,6,7
STAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,109,32,6,6
THCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,136,17,19,6
THCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,91,22,14,7
THCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,58,25,11,8
THCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,5,43,26,8,8
STES,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,145,46,6,6
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,318,73,8,6
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,249,187,9,5
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,533,160,17,6
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,310,242,8,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,204,268,6,8
