Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1NAT_A,0NAT_A
STAD,"('Protein', 'mRNA', 'MicroRNA')",OS,1,145,45,11,7
STES,"('Protein', 'mRNA', 'MicroRNA')",OS,1,192,63,11,7
PanGI,"('Protein', 'mRNA', 'MicroRNA')",OS,1,474,103,13,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,1,663,147,29,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,2,404,266,14,11
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,3,267,321,9,12
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,4,201,339,5,13
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,621,83,29,5
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,380,159,14,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,251,193,9,8
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,188,204,5,8
STAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,127,38,9,7
THCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,155,19,19,6
THCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,101,24,14,7
THCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,62,27,11,8
THCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,5,44,28,8,8
STES,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,166,55,9,7
PanGI,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,428,106,11,7
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,268,195,14,5
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,167,229,5,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,586,171,28,6
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,348,262,12,10
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,233,292,9,11
STAD,"('Protein', 'mRNA', 'Methylation')",OS,1,124,38,8,5
STES,"('Protein', 'mRNA', 'Methylation')",OS,1,167,53,8,5
PanGI,"('Protein', 'mRNA', 'Methylation')",OS,1,355,74,10,5
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,1,612,140,18,7
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,2,365,253,9,9
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,3,238,301,6,10
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,1,574,78,18,5
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,2,343,150,9,6
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,3,224,179,6,7
STAD,"('Protein', 'mRNA', 'Methylation')",PFI,1,110,32,6,6
THCA,"('Protein', 'mRNA', 'Methylation')",PFI,2,136,17,19,6
THCA,"('Protein', 'mRNA', 'Methylation')",PFI,3,91,22,14,7
THCA,"('Protein', 'mRNA', 'Methylation')",PFI,4,58,25,11,8
THCA,"('Protein', 'mRNA', 'Methylation')",PFI,5,43,26,8,8
GBMLGG,"('Protein', 'mRNA', 'Methylation')",PFI,1,265,95,11,5
GBMLGG,"('Protein', 'mRNA', 'Methylation')",PFI,2,141,145,5,6
STES,"('Protein', 'mRNA', 'Methylation')",PFI,1,146,46,6,6
PanGI,"('Protein', 'mRNA', 'Methylation')",PFI,1,319,73,8,6
PanGyn,"('Protein', 'mRNA', 'Methylation')",PFI,2,254,188,9,5
PanSCCs,"('Protein', 'mRNA', 'Methylation')",PFI,1,537,163,17,6
PanSCCs,"('Protein', 'mRNA', 'Methylation')",PFI,2,314,245,8,7
PanSCCs,"('Protein', 'mRNA', 'Methylation')",PFI,3,207,272,6,8
STAD,"('Protein', 'MicroRNA', 'Methylation')",OS,1,125,43,8,5
STES,"('Protein', 'MicroRNA', 'Methylation')",OS,1,168,58,9,5
PanGI,"('Protein', 'MicroRNA', 'Methylation')",OS,1,356,79,11,5
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",OS,3,290,150,7,6
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",OS,4,206,196,5,6
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",OS,1,612,137,19,7
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",OS,2,364,250,10,9
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",OS,3,235,300,7,10
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",DSS,3,278,121,6,5
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",DSS,1,574,77,19,5
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",DSS,2,342,149,10,6
